"Date","Address","lat","lon","Killed","Injured","Content"
2014-01-01,"Rockingham Street and Berkley Avenue Extended, Norfolk, Virginia",36.8307885,-76.2789351,2,2,"<b>Date: </b>2014-01-01<br/><b>Killed: </b>2<br/><b>Injured: </b>2<br/><b>Location: </b>Rockingham Street and Berkley Avenue Extended, Norfolk, Virginia"
2014-01-03,"Farmers Boulevard and 133rd Avenue, Queens, New York",40.6775003,-73.7628984,1,3,"<b>Date: </b>2014-01-03<br/><b>Killed: </b>1<br/><b>Injured: </b>3<br/><b>Location: </b>Farmers Boulevard and 133rd Avenue, Queens, New York"
2014-01-12,"3600 block of Highway 80 W, Tallulah, Louisiana",32.4085176,-91.1867517,0,6,"<b>Date: </b>2014-01-12<br/><b>Killed: </b>0<br/><b>Injured: </b>6<br/><b>Location: </b>3600 block of Highway 80 W, Tallulah, Louisiana"
2014-01-12,"University Drive, Huntsville, Alabama",34.7365623,-86.6503899,0,5,"<b>Date: </b>2014-01-12<br/><b>Killed: </b>0<br/><b>Injured: </b>5<br/><b>Location: </b>University Drive, Huntsville, Alabama"
2014-01-12,"300 block of North Street, Elgin, Illinois",42.0401123,-88.2802179,0,5,"<b>Date: </b>2014-01-12<br/><b>Killed: </b>0<br/><b>Injured: </b>5<br/><b>Location: </b>300 block of North Street, Elgin, Illinois"
2014-01-13,"800 block of Calvert St, Detroit, Michigan",42.3871989,-83.0922139,0,4,"<b>Date: </b>2014-01-13<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>800 block of Calvert St, Detroit, Michigan"
2014-01-14,"West 86th Street, Los Angeles, California",33.9592417,-118.3987642,0,4,"<b>Date: </b>2014-01-14<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>West 86th Street, Los Angeles, California"
2014-01-16,"37 N. 630 West, Spanish Fork, Utah",40.1103569,-111.6654008,5,0,"<b>Date: </b>2014-01-16<br/><b>Killed: </b>5<br/><b>Injured: </b>0<br/><b>Location: </b>37 N. 630 West, Spanish Fork, Utah"
2014-01-16,"N/A, Ardmore, Oklahoma",34.1742611,-97.1436254,2,4,"<b>Date: </b>2014-01-16<br/><b>Killed: </b>2<br/><b>Injured: </b>4<br/><b>Location: </b>N/A, Ardmore, Oklahoma"
2014-01-20,"8509 Rixlew Ln, Manassas, Virginia",38.7724579,-77.501871,0,4,"<b>Date: </b>2014-01-20<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>8509 Rixlew Ln, Manassas, Virginia"
2014-01-21,"Springfield Avenue , Newark, New Jersey",40.7340152,-74.1914125,2,3,"<b>Date: </b>2014-01-21<br/><b>Killed: </b>2<br/><b>Injured: </b>3<br/><b>Location: </b>Springfield Avenue , Newark, New Jersey"
2014-01-25,"600 block of Covenant Drive, Belle Glade, Florida",26.6868481,-80.6739228,0,4,"<b>Date: </b>2014-01-25<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>600 block of Covenant Drive, Belle Glade, Florida"
2014-01-27,"821 Word Plaza, Rocky Mount, North Carolina",35.9689931,-77.8183546,0,4,"<b>Date: </b>2014-01-27<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>821 Word Plaza, Rocky Mount, North Carolina"
2014-01-27,"2nd Avenue South and South Main Street, Seattle, Washington",47.6000368,-122.331575,1,4,"<b>Date: </b>2014-01-27<br/><b>Killed: </b>1<br/><b>Injured: </b>4<br/><b>Location: </b>2nd Avenue South and South Main Street, Seattle, Washington"
2014-02-03,"2100 block of Bridlewood Dr, Franklin, Indiana",39.4997647,-86.0449971,3,2,"<b>Date: </b>2014-02-03<br/><b>Killed: </b>3<br/><b>Injured: </b>2<br/><b>Location: </b>2100 block of Bridlewood Dr, Franklin, Indiana"
2014-02-05,"6740 N Clark St, Chicago, Illinois",42.0048715,-87.6731925,1,3,"<b>Date: </b>2014-02-05<br/><b>Killed: </b>1<br/><b>Injured: </b>3<br/><b>Location: </b>6740 N Clark St, Chicago, Illinois"
2014-02-06,"4600 block of Downman Road, New Orleans, Louisiana",30.016365,-90.0218189,0,4,"<b>Date: </b>2014-02-06<br/><b>Killed: </b>0<br/><b>Injured: </b>4<br/><b>Location: </b>4600 block of Downman Road, New Orleans, Louisiana"
2014-02-07,"Northwest 41st Street and 9th Avenue , Miami, Florida",25.7806007,-80.2629892,0,5,"<b>Date: </b>2014-02-07<br/><b>Killed: </b>0<br/><b>Injured: </b>5<br/><b>Location: </b>Northwest 41st Street and 9th Avenue , Miami, Florida"
